country_code,indicator_code,indicator_name,year,value
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,416.871146273728
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,413.757894705303
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,357.261152798144
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,356.496214115892
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,510.787063366811
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,496.6025042585
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,491.337221382603
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,525.469770891619
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,522.082215583898
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,565.569730408751
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,625.054941813938
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,637.087099117099
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,651.417134470046
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,606.694676337726
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,560.621505463146
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,452.053705477043
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,381.73323802844
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,376.223152003876
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,274.218553561575
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,254.184249149336
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,221.763653873013
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,198.871115728727
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,178.954088379235
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,138.706821676113
AFG,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,174.930991430166
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,11374.0085781236
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,9740.7023414631
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,7756.96188744253
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,7242.45513146613
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,6027.91350716348
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,6069.43903131027
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,5897.65452588774
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,5006.36012951959
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,4457.63412207495
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,4199.53912925398
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,4793.59751131525
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,4542.92903556739
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,4280.93316338873
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,4465.70914328865
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,4149.14469936847
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,4213.65007574693
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,4498.50486763601
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,3743.05529896187
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,3057.77257038113
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,2741.72136549578
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,2446.90949947798
ALB,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,1908.69900687608
