"country_name","region","income_group","life_expectancy_2000","life_expectancy_2024","life_expectancy_improvement","under5_mortality_reduction"
"Malawi","Sub-Saharan Africa ","Low income",46.17,67.56,21.39,122.20
"Rwanda","Sub-Saharan Africa ","Low income",47.80,68.02,20.22,146.50
"Zambia","Sub-Saharan Africa ","Lower middle income",46.58,66.53,19.95,103.40
"Uganda","Sub-Saharan Africa ","Low income",49.64,68.49,18.85,95.20
"Angola","Sub-Saharan Africa ","Lower middle income",46.50,64.81,18.30,136.00
"Sierra Leone","Sub-Saharan Africa ","Low income",44.83,61.96,17.13,132.30
"Botswana","Sub-Saharan Africa ","Upper middle income",52.26,69.29,17.03,46.50
"Zimbabwe","Sub-Saharan Africa ","Lower middle income",46.03,63.06,17.03,34.70
"Ethiopia","Sub-Saharan Africa ","Low income",50.88,67.60,16.72,95.60
"Eswatini","Sub-Saharan Africa ","Lower middle income",47.63,64.26,16.64,67.40
"Burundi","Sub-Saharan Africa ","Low income",47.62,63.82,16.20,105.30
"Namibia","Sub-Saharan Africa ","Lower middle income",52.95,67.52,14.57,38.70
"Mozambique","Sub-Saharan Africa ","Low income",49.48,63.80,14.32,105.20
"Tanzania","Sub-Saharan Africa ","Lower middle income",53.24,67.21,13.97,91.00
"Guinea-Bissau","Sub-Saharan Africa ","Low income",50.57,64.25,13.69,107.50
"Bangladesh","South Asia","Lower middle income",62.05,74.93,12.88,55.00
"Korea, Dem. People's Rep.","East Asia & Pacific","Low income",60.91,73.74,12.83,83.50
"Eritrea","Sub-Saharan Africa ","Low income",56.29,68.89,12.61,51.00
"Niger","Sub-Saharan Africa ","Low income",49.17,61.43,12.26,117.20
"Bhutan","South Asia","Lower middle income",61.84,73.26,11.42,60.50
"Cambodia","East Asia & Pacific","Lower middle income",59.49,70.82,11.33,86.80
"Senegal","Sub-Saharan Africa ","Lower middle income",57.62,68.92,11.31,92.40
"Afghanistan","Middle East, North Africa, Afghanistan & Pakistan","Low income",55.01,66.29,11.28,78.70
"Central African Republic","Sub-Saharan Africa ","Low income",46.61,57.67,11.06,75.80
"Lao PDR","East Asia & Pacific","Lower middle income",58.32,69.23,10.91,70.70
"Kazakhstan","Europe & Central Asia","Upper middle income",63.79,74.53,10.74,32.70
"Cote d'Ivoire","Sub-Saharan Africa ","Lower middle income",51.39,62.11,10.72,75.90
"Congo, Rep.","Sub-Saharan Africa ","Lower middle income",55.37,66.00,10.63,73.40
"Cameroon","Sub-Saharan Africa ","Lower middle income",53.34,63.97,10.63,79.10
"Equatorial Guinea","Sub-Saharan Africa ","Upper middle income",53.40,63.91,10.51,86.50
"Burkina Faso","Sub-Saharan Africa ","Low income",50.81,61.29,10.48,101.10
"Liberia","Sub-Saharan Africa ","Low income",51.85,62.32,10.47,108.50
"Maldives","South Asia","Upper middle income",70.89,81.29,10.39,34.10
"Congo, Dem. Rep.","Sub-Saharan Africa ","Low income",51.89,62.07,10.19,94.90
"South Sudan","Sub-Saharan Africa ","Low income",47.59,57.74,10.15,83.40
"Mali","Sub-Saharan Africa ","Low income",50.61,60.68,10.07,116.90
"Timor-Leste","East Asia & Pacific","Lower middle income",58.10,67.90,9.81,63.90
"India","South Asia","Lower middle income",62.75,72.24,9.49,65.20
"Djibouti","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",56.73,66.20,9.47,49.60
"Suriname","Latin America & Caribbean ","Upper middle income",64.41,73.76,9.35,15.20
"Azerbaijan","Europe & Central Asia","Upper middle income",65.38,74.58,9.20,56.40
"Mongolia","East Asia & Pacific","Upper middle income",63.21,72.40,9.19,49.10
"Gambia, The","Sub-Saharan Africa ","Low income",56.90,66.06,9.16,70.40
"Lesotho","Sub-Saharan Africa ","Lower middle income",48.78,57.80,9.02,48.30
"Estonia","Europe & Central Asia","High income",70.42,79.30,8.88,9.00
"Nicaragua","Latin America & Caribbean ","Lower middle income",66.36,75.10,8.74,25.90
"Morocco","Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",66.79,75.49,8.70,36.70
"Sao Tome and Principe","Sub-Saharan Africa ","Lower middle income",61.21,69.91,8.70,68.60
"Guinea","Sub-Saharan Africa ","Lower middle income",52.42,60.90,8.48,73.60
"Tajikistan","Europe & Central Asia","Lower middle income",63.54,71.93,8.39,50.30
"Togo","Sub-Saharan Africa ","Lower middle income",54.59,62.94,8.35,63.10
"Kuwait","Middle East, North Africa, Afghanistan & Pakistan","High income",76.23,84.58,8.35,4.60
